File Name,Fiscal Year,Stripe Type,Stripe Number,Incident Date,Incident Time,Location / Plant,Department,Section,Incident Type,Injury Description,Employee Type,Vendor Name,Vendor Star Rating,Risk Type,LTI Free Days,Camera Surveillance,What Happened,Preliminary Findings,Recommendations,Severity,FY Number
Orange Stripe#05-FY25-FMM-TSJ-English.pdf,FY-25,Orange Stripe,05/FY-25,,,,,,,,,,,,,,,1. All workmen were wearing all the required PPEs. 2. E- permit was taken for the job. 3. Standard operating procedure was available at the site. 4. The cylinder was lifted in the wrong orientation.,1. Cylinder should be lifted in the same orientation as required in final assembly. 2. Only the required number of manpower should be present during the job execution.,LTI,2025.0
Red Stripe- LD1 TSJ_ 05-04-2024-English.pdf,FY-25,Red Stripe,01/ FY-25,05-04-2024 Time: 07:40 AM,07:40 AM,"Lance de-skulling platform, 23-meter floor, Vessel#2",LD#1 under Steel Manufacturing,Primary Steel Making,Fatal incident of an employee of M/s Abreast Engineering,Burn injury on face and upper body,,,,,,,,,,Fatal,2025.0
Red Stripe- LD1 TSJ_ 05-04-2024-English.pdf,FY-25,Red Stripe,01/ FY-25,,,,,,,,,,,,,,,1. Standard Operating Procedure (SOP) for the job and training records were available. 2. E- work permit was taken for the job. 3. All persons engaged in the job were wearing required Personal Protective Equipment (PPEs).,,Fatal,2025.0
"Orange Stripe#117-FY24-SMS2, TSM-English.pdf",FY-24,Orange Stripe,117/FY-24,27-03-2024 Time: 02:55 PM,02:55 PM,"Caster-1, casting floor near mould","Steel Melting Shop-2, TSM","Caster-1, Operation",LTI of a company employee,Burn injury on face,Company,,,"Blue Risk (C3, L3)",354 days,Yes,,,,LTI,2024.0
"Orange Stripe#117-FY24-SMS2, TSM-English.pdf",FY-24,Orange Stripe,117/FY-24,,,,,,,,,,,,,,,1. SOP was available but found inadequate. 2. IP is having more than 8 years of experience in caster area. 3. IP put metal rod inside the mould and peep to check the movement of slab. While it is clearly mentioned in SOP to maintain safe distance from mould during cap-off.,"1. SOP (Standard Operating Procedure) should be revised, including job responsibility of all concerned for planned cap off & unplanned cap off. 2. Training on the revised SOP should be provided.",LTI,2024.0
"Orange Stripe#116-FY24-HMC, TSJ-English.pdf",FY-24,Orange Stripe,116/FY-24,27-03-2024 Time: 11:35 PM,11:35 PM,Near LMC building,Logistics Operation – HMC (Hooghly Met Coke),,LTI of a contractor employee,Hairline fracture in right foot 5th Metatarsal bone,Contractor,M/s Biswa Bharati Construction,4 Star,"Yellow Risk (C3, L4)",792 days,Yes,"On March 27, 2024, IP (Injured Person) was deputed in the logistics area as a ground crew. He was going to the rail track changeover point to facilitate locomotive movement on desired track. While going, his right leg got twisted on the track. Immediately, he was sent to OHC (Occupational Health Cen",,,LTI,2024.0
"Orange Stripe#116-FY24-HMC, TSJ-English.pdf",FY-24,Orange Stripe,116/FY-24,,,,,,,,,,,,,,,1. IP was using shortcut instead of safe access (located just beside the area). This was an unsafe act and violation. 2. Illumination of the area was found adequate. 3. Standard operating procedure for the job was available and found adequate. 4. There was safe access to the job location.,1. Behavior based training should be provided to vendor partners. 2. People to be sensitized on not using shortcut with appropriate communication at strategic locations for optimal impact.,LTI,2024.0
"Orange Stripe#114-Engg Services, TSJ-English.pdf",FY-24,Orange Stripe,114/FY-24,04-03-2024 Time: 07:50 PM,07:50 PM,Near Lal building approach road,"Engineering Services, TSJ",,LTI of a contractor employee,Fracture in left leg,Contractor,M/S Reliance Fabrications (sub vendor of TSUISL),4 Star,"Blue Risk (C3, L3)",498 days,No,,,,LTI,2024.0
"Orange Stripe#114-Engg Services, TSJ-English.pdf",FY-24,Orange Stripe,114/FY-24,,,,,,,,,,,,,,,1. IP was a driver; he was not the competent person to tying/lashing the material. 2. Material handling was not the part of his job.,"1. Ensure that materials should be adequately secured/fastened before transporting. 2. Training on material loading/unloading, and transportation should be provided to all vendor employees engaged in the transportation job.",LTI,2024.0
Red Stripe- Joda_27-01-2024- English_240129_221943.pdf,FY-24,Red Stripe,04/ FY-24,27.01.2024 Time: 09:40 AM,09:40 AM,New Belt Conveyor (NBC) 3A,"Dry & Logistics, Joda","Logistics, Joda",Fatal incident of employee of M/s R.C. Engineering Enterprises,Cervical Spine Injury,,,,,,,Iron ore products (lumps and fines) of processing plants are conveyed through a belt conveyor to loading system for onward dispatch through railways. The conveyor belt moves on a set of rotating parts called idlers (shown in the,,,Fatal,2024.0
Red Stripe TSM_BFPP2 incident_13.06.2023.pdf,FY-24,Red Stripe,01/FY24,13.06.2023 Time: 01:00 PM,01:00 PM,Common steam distribution header platform,"Blast Furnace Power Plant#2, Meramandali",,Fatal incident of an employee of Tata Steel Technical Services,Burn injuries (75%),,,,,,,,,,Fatal,2024.0
Red Stripe TSM_BFPP2 incident_13.06.2023.pdf,FY-24,Red Stripe,01/FY24,,,,,,,,,,,,,,,,,Fatal,2024.0
Red Stripe Logistics TSM - 07.12.23_ (English).pdf,FY-24,Red Stripe,02/FY24,07.12.2023 Time: 10:20 PM,10:20 PM,Truck Tippler out haul area.,Logistics Operation- Tata Steel Meramandali (TSM),Inbound Logistics,Fatal incident of truck driver of M/s Exim Logistics Pvt Ltd.,Internal injury in the back and abdomen.,,,,,,,,,,Fatal,2024.0
Red Stripe Logistics TSM - 07.12.23_ (English).pdf,FY-24,Red Stripe,02/FY24,,,,,,,,,,,,,,,"1. Mr. Pradhan came out for checking remnant material in the Truck-1 and thereafter closing the dump body, if it was clean. This activity was done on the road instead of the designated bay for dump body cleaning and closing. At that time, 3 nos. of vehicles had already been placed at the dump body c",,Fatal,2024.0
Red Stripe TSK Operations - 27.12.23- English.pdf,FY-24,Red Stripe,03/FY-24,27.12.2023 Time: 06:25 PM,06:25 PM,Slag Aisle Maintenance Bay,Central Mechanical Maintenance,Steel Melting Shop,Fatal incident of employee of M/s Himalaya Steel Mill,Head and Leg Injuries,,,,,,,,,,Fatal,2024.0
Red Stripe TSK Operations - 27.12.23- English.pdf,FY-24,Red Stripe,03/FY-24,,,,,,,,,,,,,,,1. Standard Operating Procedure (SOP) for the job was available. 2. The incident happened while Mr. Das was checking the tyre valve pin before fixing the tyre. 3. Original Equipment Manufacturer (OEM) person was downloading the data from the slag pot carrier operator cabin onto his laptop for health,,Fatal,2024.0
Orange Stripe#55-FY24-LD1-English.pdf,FY-24,Orange Stripe,55/FY-24,23-08-2023 Time: 10:02 PM,10:02 PM,Beside LD-1 canteen,LD-1,Material Handling Section,LTI of a company employee,Minor radial fracture in right elbow,Company,,,"Yellow Risk (C3, L4)",147 days,No,"On August 23, 2023, IP (Injured Person) was concluding his B shift duty, when he fell from his bike while making a right turn from LD1 parking after punching out. The IP did not seek immediate first aid as he did not experience significant pain at that moment. However, the next morning, the IP exper",,,LTI,2024.0
Orange Stripe#55-FY24-LD1-English.pdf,FY-24,Orange Stripe,55/FY-24,,,,,,,,,,,,,,,1. The area already had proper lighting in place. 2. Blind curve mirror was provided at the incident spot.,1. Communication should be given to all MHS (Material Handling Section) operators about this incident to sensitize them on defensive driving.,LTI,2024.0
"Orange Stripe#54-FY24-DU JODA, E&P RM-English.pdf",FY-24,Orange Stripe,54/FY-24,19-09-2023 Time: 09:00 PM,09:00 PM,Joda East Iron Mine,"Raw Material Project, Joda",,LTI of a contractor employee,Fracture in left arm,Contractor,M/s Kadtech Infraproject Pvt. Ltd.,,"Red Risk (C4, L5)",1124 days,No,,,,LTI,2024.0
Orange stripe#53-FY24-HSM-TSJ-English.pdf,FY-24,Orange Stripe,53/FY-24,28-08-23 Time: 10:05 PM,10:05 PM,On road in front of HSM Admin building,Hot Strip Mill,Mill Providing Heating,LTI of a company employee,Fracture in left hand,Company,,,"Yellow Risk (C3, L4)",145 Days,No,,,,LTI,2024.0
Orange stripe#53-FY24-HSM-TSJ-English.pdf,FY-24,Orange Stripe,53/FY-24,,,,,,,,,,,,,,,,1. Narrow passage should be barricaded with permanent barricading to prevent from any inadvertent entry. 2. No parking signages should be put near punching machines to prevent parking of vehicles out there. 3. Communication should be given to employees to avoid parking of vehicles around punching ma,LTI,2024.0
Orange Stripe#52-FY24-Corporate Services-English.pdf,FY-24,Orange Stripe,52/FY-24,18-08-2023 Time: 08:30 AM,08:30 AM,"Ladies’ washroom, 15th Floor, Tata Centre","Corporate Administration, Kolkata",,LTI of a contractor employee,Cut injury on the head,Contractor,M/s. Colliers International,NA (Low Risk Vendor),"Blue Risk (C2, L4)",,No,,,,LTI,2024.0
Orange Stripe#52-FY24-Corporate Services-English.pdf,FY-24,Orange Stripe,52/FY-24,,,,,,,,,,,,,,,"1. The event occurred due to the clothes pegs on the door hitting the wall tiles repeatedly, which made the tiles loose. 2. There was no buffer on the wall side to prevent door hitting the wall.",1. A checklist should be developed to inspect and replace the loose wall tiles at a fixed frequency. 2. Buffer should be installed for all doors which has the potential to hit the adjacent wall. 3. Design standard should be developed for all renovation/ construction job of office buildings. 4. Train,LTI,2024.0
Orange Stripe#51-FY24-Wire Division-English.pdf,FY-24,Orange Stripe,51/FY-24,18-08-2023 Time: 05:40 AM,05:40 AM,Near Machine No-104 on the Pay-off side,Pithampur Wire Plant (GWI),,LTI of a contractor employee,Fracture in Right Leg,Contractor,M/s Inox Works & Consultant Pvt. Ltd.,4-Star,"Yellow Risk (C3, L4)",808 Days,Yes,"On August 18, 2023, IP (Injured Person) was walking towards machine no-104 on the pay-off side. Simultaneously, the forklift operator was shifting the coils near the same machine using a forklift in reverse direction. During this activity, it accidentally collided with IP’s right leg, causing an inj",,,LTI,2024.0
Orange Stripe#51-FY24-Wire Division-English.pdf,FY-24,Orange Stripe,51/FY-24,,,,,,,,,,,,,,,1. IP was wearing all the PPEs (Personal Protective Equipment). 2. Illumination level at the incident site was good. 3. Forklift operator had a valid driving license and was having an experience of five years. 4. IP deviated from the green pathway and had entered Forklift operation zone.,1. All CSMS (Contractor Safety Management System) related guidelines should be adhered to. 2. Segregation/ elimination of forklift and people movement should be done inside the shopfloor. 3. Behavior based training to be imparted to all employees. 4. Checklist should be modified for the reverse horn,LTI,2024.0
"Orange Stripe#49-FY24-Corporate Serv, West Bokaro-English.pdf",FY-24,Orange Stripe,49/FY-24,01-08-2023 Time: 11:15 PM,11:15 PM,"Hospital corridor of new wing, Gynae ward","Tata Centre Hospital, West Bokaro",Medical Services,LTI of a company employee,Fracture in Right leg,Company,,,"Yellow Risk (C3, L4)",17 days,No,"On August 01, 2023, IP (Injured Person) was in night shift. While coming to her work after Punch- In, she slipped on a ramp in the hospital corridor. The corridor floor was wet due to water seepage from the ceiling. IP was taken to first aid and thereafter, she was admitted to hospital for observati",,,LTI,2024.0
"Orange Stripe#49-FY24-Corporate Serv, West Bokaro-English.pdf",FY-24,Orange Stripe,49/FY-24,,,,,,,,,,,,,,,1. Ramp floor was wet due to water seepage from the ceiling. 2. It was a rainy day and water seepage issues were there all around. 3. IP was wearing a high heal sandal which led her into an unbalanced condition.,"1. The non-slip tiles should be replaced with rough tiles. 2. Handrail should be provided at the corridor. 3. Regular cleaning of wet area should be done. 4. Survey of hospital should be done to identify damaged roof, water seepage points and, should rectify the same.",LTI,2024.0
Orange Stripe#48-FY24-OMQ RM-English.pdf,FY-24,Orange Stripe,48/FY-24,21-08-2023 Time: 07:15 AM,07:15 AM,"North Quarry, Joda East Iron Mine","Mining Operation, OMQ Joda",Drilling and Blasting,LTI of a company employee,Hairline fracture to distal phalanx of right hand little finger,Company,,,"Yellow Risk (C3, L4)",561 days,No,"On August 21, 2023, IP (Injured person) was operating drill machine ROC L8-02 at the F2 bench in Sector-2, North quarry. While closing the drill machine cabin door, his right-hand little finger got pressed between door & frame of machine cabin. He was sent to Tata Steel Hospital, Joda, for first aid",,,LTI,2024.0
Orange Stripe#50-FY24-Elect T&D- TSJ-English.pdf,FY-24,Orange Stripe,50/FY-24,17-08-2023 Time: 4:40 PM,4:40 PM,MTG (Micro Turbine Generator) platform at main Turbine Floor,Electrical T&D,Power House-3 IEM (Integrated Electrical Maintenance),LTI of a company employee,Lacerated wound over left ankle,Company,,,"Yellow Risk (C2, L3)",6235 days,No,,,,LTI,2024.0
Orange Stripe#50-FY24-Elect T&D- TSJ-English.pdf,FY-24,Orange Stripe,50/FY-24,,,,,,,,,,,,,,,1. IP was wearing all the mandatory PPEs (Personal Protective Equipment). 2. Illumination of the area was found adequate. 3. The platform extension was not enough (170mm) for someone to stand.,"1. In such unsafe condition, unauthorized entry should be restricted, unless the basic condition is restored, and safe platform is provided. 2. Provide the ‘hazard sign’ displays related to STF (Slip/Trip/Fall) at these types of platforms. 3. Behaviour based training should be given to all, to bring",LTI,2024.0
Orange Stripe#47-FY24-WCRM Khopoli-English.pdf,FY-24,Orange Stripe,47/FY-24,19-08-2023 Time: 03:50 PM,03:50 PM,Service Centre Shed 1&2 Crane gantry,WCRM Mechanical Maintenance,,LTI of a contractor employee,Laceration injury on left leg calf,Contractor,Tata Projects Ltd.,3 Star,"Red Risk (C4, L4)",116 days,No,,,,LTI,2024.0
Orange Stripe#47-FY24-WCRM Khopoli-English.pdf,FY-24,Orange Stripe,47/FY-24,,,,,,,,,,,,,,,,"1. Structural inspection jobs on cranes and gantry should be done only after positive isolation. 2. Proximity Sensors should be installed on crane to detect the human/ object presence at gantry. 3. Manpower deployed for work at height jobs should be competent, skilled, and experienced. 4. Standard o",LTI,2024.0
Orange Stripe#46-FY24-Utilities E&P TSK-English.pdf,FY-24,Orange Stripe,46/FY-24,18-08-23 Time: 9:30 AM,9:30 AM,"CO Gas Holder, NS 30, TSK","Utilities and Water System, Engineering & Projects",,LTI of a contractor employee,Swelling in right thumb,Contractor,M/s Gillanders Arbuthnot & Co Ltd,3 Star,"Blue Risk (C2, L3)",,Yes,"On August 18, 2023, IP (Injured Person), who was working as a helper, tried to adjust the stand manually on which the boom was lowered and kept for the extension of the crane boom (85T). While holding the top of the stand, his right thumb got caught between the boom and the stand, resulting in swell",,,LTI,2024.0
Orange Stripe#46-FY24-Utilities E&P TSK-English.pdf,FY-24,Orange Stripe,46/FY-24,,,,,,,,,,,,,,,1. IP was wearing all the required PPEs (Personal Protective Equipment). 2. Work permit and SOP (Standard Operating Procedure) were available at site. 3. Illumination was adequate at site. 4. Helper tried to adjust the stand by holding its tip instead of the leg.,1. Manual adjustment of the stand and boom during assembly should be avoided. 2. Job specific training should be provided.,LTI,2024.0
Orange Stripe#45-FY24-CRM-TSM-English.pdf,FY-24,Orange Stripe,45/FY-24,13-08-2023 Time: 00:05 Hrs,00:05,RGM-1,Cold Rolling Mill,Operation,LTI of a company employee,Cut on right cheek,Company,,,"Yellow Risk (C3, L4)",277,No,"On August 13, 2023, IP (Injured Person) was engaged in grinding operation of material pick up work roll. As he started the cleaning process, a metal piece (30x20 mm) flew away from the roll and hit the IP’s right cheek resulting in cut injury on his cheek. Immediately, he was sent to plant OHC (Occu",,,LTI,2024.0
Orange Stripe#45-FY24-CRM-TSM-English.pdf,FY-24,Orange Stripe,45/FY-24,,,,,,,,,,,,,,,1. IP was wearing all the required PPEs (Personal Protective Equipment). 2. Illumination of the area was found adequate. 3. Hazards were not identified in SOP (Standard Operating Procedure).,"1. Inspection guard should be provided. 2. Face shield and arm sleeves for this activity should made compulsory as PPE. 3. SOP and HIRA (Hazard Identification and Risk Assessment), for this job, should be reviewed.",LTI,2024.0
Orange Stripe#44-FY24-Battery 10-11 TSJ-English.pdf,FY-24,Orange Stripe,44/FY-24,07-08-2023 Time: 6:30 AM,6:30 AM,Staircase of LTSS-5B Control Room,"Coke Plant, Jamshedpur",Battery-10 & 11,LTI of a company Employee,Sprain on right foot,Company,,,"Blue Risk (C3, L3)",12 days,No,"On August 7, 2023, IP (Injured Person) was descending the stairs of the LTSS-5B (Low Tension Sub-Station) control room. At the final step of the staircase, the IP’s right foot twisted, causing significant pain. The IP was sent to West Plant First Aid centre for first aid. After evaluation, he was re",,,LTI,2024.0
Orange Stripe#44-FY24-Battery 10-11 TSJ-English.pdf,FY-24,Orange Stripe,44/FY-24,,,,,,,,,,,,,,,,1. Feasibility of improving staircase steps height should be explored. 2. Reflective tape and warning signages to be put on staircase.,LTI,2024.0
"Orange Stripe#43-FY24-Bhelatand, Jharia-English.pdf",FY-24,Orange Stripe,43/FY-24,23-07-2023 Time: 8:15 AM,8:15 AM,1.5W level/ 27 dip,"Bhelatand Colliery, Jharia",,LTI of a company employee,Cut injury on upper lip and in left hand,Company,,,"Yellow Risk (C3, L4)",288 days,No,,,,LTI,2024.0
"Orange Stripe#43-FY24-Bhelatand, Jharia-English.pdf",FY-24,Orange Stripe,43/FY-24,,,,,,,,,,,,,,,"1. Both the roof and side were properly supported at the site, with no lack of support observed on the face. 2. The IP was using all required PPEs (Personal Protective Equipment) at the time of the incident. 3. Personal cap lamp was used for the illumination at the face. 4. Remaining blasted coal wa",1. A manual scrapper (creche) should be used to handle the left-over blasted coal and levelling of floor if required. 2. Workmen should take sufficient rest before starting of next round of blasting.,LTI,2024.0
"Orange Stripe#42-FY24-BF2, E&P TSK-English.pdf",FY-24,Orange Stripe,42/FY-24,11-07-2023 Time: 10:55 AM,10:55 AM,"Duct Painting Yard, South Yard, BF-2","BF2 Mechanical, E&P TSK",,LTI of a contractor employee,Snake bite on near right hand thumb,Contractor,M/s Lead Tek Industries,3 Star,"Blue Risk (C3, L3)",150 days,No,,,,LTI,2024.0
"Orange Stripe#42-FY24-BF2, E&P TSK-English.pdf",FY-24,Orange Stripe,42/FY-24,,,,,,,,,,,,,,,1. Snake was hidden beneath the tarpaulin. 2. A toolbox talk was conducted with the workmen before the work started.,1. Snake repellant to be sprayed on weekly basis.,LTI,2024.0
Orange Stripe#41-FY24-Utilities-TSK-English-1.pdf,FY-24,Orange Stripe,41/FY-24,23-07-2023 Time: 09:30 AM,09:30 AM,Air Separating Unit,Utilities & Power System,,LTI of a contractor employee,Lacerated wound on left upper palpebral,Contractor,M/s. Linde,,"Yellow Risk (C3, L4)",1250 days,NO,,,,LTI,2024.0
Orange Stripe#41-FY24-Utilities-TSK-English-1.pdf,FY-24,Orange Stripe,41/FY-24,,,,,,,,,,,,,,,1. Standard operating procedure was available at site. 2. IP was wearing PPEs (Personal Protective Equipment) along with face shield. 3. There was found lack in job supervision.,1. Stainless steel pipe with threaded type permanent connection arrangement should be provided instead of current PVC hose pipe. 2. LPG (Liquid Petroleum Gas) type regulator should be provided in place of jubilee clamp arrangement. 3. Whip latch/ arrestor should be provided to avoid whipping movemen,LTI,2024.0
Orange Stripe#40-FY24-E&P-TSK-English.pdf,FY-24,Orange Stripe,40/FY-24,27-07-2023 Time: 11:25 AM,11:25 AM,"M.K Batching Plant, TSK",Engg & Projects,,LTI of a contract employee,Fracture in right leg,Contractor,M/s M.K Construction,3 Star,"Blue Risk (C3, L3)",6 days,No,,,,LTI,2024.0
Orange Stripe#40-FY24-E&P-TSK-English.pdf,FY-24,Orange Stripe,40/FY-24,,,,,,,,,,,,,,,1. IP was wearing all required Personal Protective Equipment. 2. The safe working procedure of the job was available. 3. The illumination was adequate at the site.,1. Ensure material stacking should be at proper place. 2. Follow proper access protocols during material shifting job.,LTI,2024.0
Orange Stripe#38-FY24-E&P-RM-English.pdf,FY-24,Orange Stripe,38/FY-24,28-07-2023 Time: 10:00 AM,10:00 AM,"IOPP-PWCW Pump House, Noamundi","RMP Noamundi, Engg & Project",,LTI of a contractor employee,Injury in left thigh with superficial muscle fibres,Contractor,M/s Tata project Limited,3 Star,"Yellow Risk (C4, L3)",515 days,Yes,,,,LTI,2024.0
"Orange Stripe#37-FY24- CRM, TSK-English.pdf",FY-24,Orange Stripe,37/FY-24,03-07-2023 Time: 11:45 AM,11:45 AM,"Near bridle roll-2, Tension Leveler, PLTCM",Quality Assurance,CRM (Cold Rolling Mill),LTI of a company employee,Injury in right leg ankle,Company,,,"Yellow Risk (C3, L5)",770 Days,NO,,,,LTI,2024.0
"Orange Stripe#37-FY24- CRM, TSK-English.pdf",FY-24,Orange Stripe,37/FY-24,,,,,,,,,,,,,,,1. IP was wearing all the mandatory PPEs (Personal Protective Equipment). 2. Area was properly illuminated.,"1. The work area should be regularly inspected for potential slip, trip and fall hazards such as craters or uneven surfaces. 2. Use clear markings and signs to indicate potential hazards on the floor.",LTI,2024.0
Orange Stripe#34-FY24-RS BAY-TSK-English.pdf,FY-24,Orange Stripe,34/FY-24,07-07-2023 Time: 06:30 AM,06:30 AM,"RS Bay Crane Gantry, CRM",Cold Rolling Mill (CRM),,LTI of a contractor employee,Laceration in left hand middle and ring finger,Contractor,Mr. Shishir Chandra Panigrahi,3 star,"Yellow Risk (C3, L4)",,No,,,,LTI,2024.0
Orange Stripe#34-FY24-RS BAY-TSK-English.pdf,FY-24,Orange Stripe,34/FY-24,,,,,,,,,,,,,,,1. RFID (Radio Frequency Identification) access control gate was working but operator was not having RFID Access card. 2. Work permit was taken before the job. 3. Crane operator was not aware about the process of using access control gate.,1. Extended handrails for holding while boarding/ deboarding the crane gantry need to be fixed. 2. RFID Access Control must not be bypassed without proper energy isolation. 3. The extent of Access Control utilization should be investigated to ensure proper usage.,LTI,2024.0
Orange Stripe#36-FY24-Battery 8-9-TSJ-English.pdf,FY-24,Orange Stripe,36/FY-24,25-07-2023 Time: 11:50 PM,11:50 PM,Battery-8 Ramp Side Bench level,Coke Plant,Battery- 8&9,LTI of a company employee,Fracture in right foot,Company,,,"Yellow Risk (C3, L4)",273 days,No,"On July 25, 2023, the IP (Injured Parson) was getting down from SCP-2 (Stamping Charging and Pushing) Machine’s step to bench level near Oven-869. He stepped on a coke piece laying under the spilled coal on bench level and lost his balance. Due to this, the IP fell, and his right foot got twisted. H",,,LTI,2024.0
Orange Stripe#36-FY24-Battery 8-9-TSJ-English.pdf,FY-24,Orange Stripe,36/FY-24,,,,,,,,,,,,,,,,1. A scheduled SAP based cleaning plan should be established for designated areas. 2. Illumination of the area should be improved.,LTI,2024.0
Orange Stripe#35-FY24-TSK-English.pdf,FY-24,Orange Stripe,35/FY-24,13-07-2023 Time: 4:00 PM,4:00 PM,"CC-9 Conveyor, Coal Yard, Logistics Operation TSK","RMHS Mechanical, TSK",,LTI of a contractor employee,Hair line fracture in right hand ring finger,Contractor,Vaaman Engineers (I) LTD,3 Star,"Blue Risk (C3, L3)",770,No,,,,LTI,2024.0
Orange Stripe#35-FY24-TSK-English.pdf,FY-24,Orange Stripe,35/FY-24,,,,,,,,,,,,,,,"1. Work permit was taken, and SOP (Standard Operating Procedure) was available at site. 2. IP was wearing adequate PPEs (Personal Protective Equipment). 3. Area was properly illuminated.",1. Caution should be exercised while walking through uneven surfaces. 2. Safety standard for Material Storage and Handling Safety Standard (SS/GEN 52) should be followed and precautions should be displayed at such hazardous sites. 3. Implement a regular housekeeping routine to keep work areas clean,LTI,2024.0
Orange Stripe#33-FY24-E&P TSK-English.pdf,FY-24,Orange Stripe,33/FY-24,20-07-2023 Time: 2:55 PM,2:55 PM,"Caster-2, Pump house area, Zero meter","SMS-2, Civil, Engineering & Project",,LTI of a contractor employee,Injury on nose and upper lips,Contractor,M/s GDCL (G034),3 Star,"Blue Risk (C3, L3)",178 days,No,,,,LTI,2024.0
Orange Stripe#33-FY24-E&P TSK-English.pdf,FY-24,Orange Stripe,33/FY-24,,,,,,,,,,,,,,,"1. Work permit of the job was available, illumination was found adequate at site. 2. Multilevel activity was being carried out at the incidence location. 3. Area was not barricaded during working at height. 4. IP was wearing helmet, hence any head injury was averted.",1. Multilevel activity should be avoided at same place. 2. Ensure that the working area is properly barricaded when working at height. 3. Storage of heavy materials at height must be avoided.,LTI,2024.0
"Orange Stripe#32-FY24-RMHS, TSM-English.pdf",FY-24,Orange Stripe,32/FY-24,17-07-2023 Time: 11:30 AM,11:30 AM,Ventilation room of EP-11 control room of RMPP,Raw Material Handling System (IMEM),,LTI of a contractor employee,Cut/ lacerated injury in right hand ring finger,Contractor,M/s Engineering Services International,3 star,"Yellow Risk (C3, L4)",72,No,,,,LTI,2024.0
"Orange Stripe#32-FY24-RMHS, TSM-English.pdf",FY-24,Orange Stripe,32/FY-24,,,,,,,,,,,,,,,"1. Work permit was taken for the job, but the job was executed without any supervision. 2. IP was wearing LV (Low Voltage) hand gloves, which is inappropriate PPE for this job. 3. Job specific hazards and safety information was not addressed in the toolbox talk.","1. The use of mechanized tools to handle the components, should be explored, to minimize the necessity for direct human machine interface. 2. The deployment of experienced and skilled workmen should be ensured according to the job requirement. 3. A comprehensive review of HIRA (Hazard Identification",LTI,2024.0
Orange Stripe#31-FY24-khopoli-TSM-English.pdf,FY-24,Orange Stripe,31/FY-24,12-07-2023 Time: 07:45 AM,07:45 AM,NCRM loading point shed no. 6,WCRM & NCRM Dispatch,,LTI of a contractor employee,Swelling in right ankle,Contractor,M/S Sidhharth Enterprises,3 Star,"Yellow Risk (C3, L4)",,Yes,,,,LTI,2024.0
Orange Stripe#31-FY24-khopoli-TSM-English.pdf,FY-24,Orange Stripe,31/FY-24,,,,,,,,,,,,,,,1. IP was wearing all mandatory PPEs (Personal Protective Equipment). 2. SOP (Standard Operating Procedure) for this job was available at the site. 3. There was space constraint for carrying out stripping activity.,"1. Retractable fall arrest system should be installed on both sides of loading point. 2. Full height fixed/portable platform must be used to secure trailer bed from all three sides. 3. Marking of Green (Safe Zone), Red (Unsafe Zone) should be provided at loading and unloading point. 4. Truck loading",LTI,2024.0
Orange Stripe#30-FY24-Sinter Plant-English.pdf,FY-24,Orange Stripe,30/FY-24,01-07-2023 Time: 09:15 PM,09:15 PM,Conveyor 503,Sinter Plant-2,,LTI of a contractor employee,"Burn injury on face, neck, and shoulder",Contractor,M/S Gaurav Enterprises,3-Star,"Blue Risk (C3, L3)",143 days,No,,,,LTI,2024.0
Orange Stripe#30-FY24-Sinter Plant-English.pdf,FY-24,Orange Stripe,30/FY-24,,,,,,,,,,,,,,,"1. Hot work jobs were not mapped in Sinter Plant-2, because of which specific PPEs (Personal Protective Equipment) and procedures were not identified. 2. Standard Operating Procedure was found inadequate to perform the activity. 3. Positive isolation system was not followed. 4. PPE was not being use",1. Face shield (which are used during lancing) to be made mandatory for cleaning/jam removal of chutes handling hot material. 2. Explore the feasibility of mechanized sinter breaking procedure. 3. Process control to be established to manage excess carbon input through green mix to avoid formation of,LTI,2024.0
Orange Stripe#28-FY24-NCRM Khopoli TSM-English.pdf,FY-24,Orange Stripe,28/FY-24,14-06-2023 Time: 12:15 PM,12:15 PM,CTL-11(Cut to Length),NCRM (Narrow Coiled Rolled Mill) Finishing,,LTI of a contractor employee,Laceration in right hand thumb,Contractor,M/s Arun Pandey,3-Star,"Yellow Risk (C3, L4)",1584,NO,,,,LTI,2024.0
Orange Stripe#28-FY24-NCRM Khopoli TSM-English.pdf,FY-24,Orange Stripe,28/FY-24,,,,,,,,,,,,,,,1. IP was not wearing hand gloves. 2. IP violated the Standard Operating Procedure by working in running line.,"1. The current manual process of applying Rust Prevention (RP) oiling should be discontinued, and alternative options should be explored. 2. A pad roll should be provided to avoid coil buildup. 3. Machine guarding should be provided with a line stop/access control interlock. 4. The visual do’s and d",LTI,2024.0
Orange Stripe#29-FY24-SS-TSJ-English.pdf,FY-24,Orange Stripe,29/FY-24,30-06-2023 Time: 10:00 AM,10:00 AM,Conveyor Belt -104 tail end,Steel Making Electrical Maintenance,Metal Recovery Plant-IEM (MRP-IEM),LTI of a Company employee,Fracture in right hand,Company,,,"Yellow Risk (C3, L4)",812 Days,Yes,,,,LTI,2024.0
