File Name,Fiscal Year,Stripe Type,Stripe Number,Incident Date,Incident Time,Location / Plant,Department,Section,Incident Type,Injury Description,Employee Type,Vendor Name,Vendor Star Rating,Risk Type,LTI Free Days,Camera Surveillance,What Happened,Preliminary Findings,Recommendations,Severity,FY Number
Orange Stripe 101-109 FY25 (English).pdf,FY-25,Orange Stripe,106/FY-25,21-03-2025 Time: 11:05 AM,11:05 AM,"Converter-1, Primary Steel Making",Steel Melting Shop (SMS),,LTI of two company employees & three contract employees,Fracture and cut injuries,Company,SMS India and L&T Prvt. Lmtd,3-Star,"Red Risk (C4, L5)",,No,,,,LTI,2025.0
"Orange Stripe#98-FY25-WRM, TSG-English.pdf",FY-25,Orange Stripe,98/FY-25,28-02-2025 Time: 11:10 AM,11:10 AM,"Billet Charging Area (BCA), Grinding Machine No-3","Wire Rod Mill, TSG",,LTI of a contract employee,Right hand middle finger dislocation,Contractor,M/s Kanti Singh and Company,3 Star,"Yellow Risk (C3, L5)",885 days,No,,,,LTI,2025.0
"Orange Stripe#98-FY25-WRM, TSG-English.pdf",FY-25,Orange Stripe,98/FY-25,,,,,,,,,,,,,,,"1. Positive isolation at the time of maintenance was not being followed. 2. No proper maintenance logs and inspection records were found. 3. Standard Operating Procedure (SOP) was available but found inadequate, greasing activity had not been define in the SOP.",1. Strict Lock Out Tag Out (LOTO) enforcement and mandatory isolation procedures should be implemented before maintenance work. 2. Permit to work system should be strengthened to prevent unauthorized maintenance work. 3. Proper machine guarding should be ensured through regular audits.,LTI,2025.0
Orange Stripe#98-FY25-WRM TSG- Odia.pdf,FY-25,Orange Stripe,,୨୮-୦୨-୨୦୨୫,,,,,,,,,,,,,,,,LTI,2025.0
"Orange Stripe#96-Corporate Services, TSK-English.pdf",FY-25,Orange Stripe,96/FY-25,28-02-2025 Time: 09:30 AM,09:30 AM,RM-5 office area pantry,"Administration, Corporate Services, TSK",,LTI of a contract employee,Burn injury on both hands forearm,Contractor,Tata Steel UISL,3 Star,"Yellow Risk (C3, L4)",,No,,,,LTI,2025.0
"Orange Stripe#96-Corporate Services, TSK-English.pdf",FY-25,Orange Stripe,96/FY-25,,,,,,,,,,,,,,,1. IP had worn full sleeve shirt and trouser with safety shoe. 2. The tea utensil’s base was unstable.,1. Electric tea kettle should be used instead of utensils. 2. The use of aprons with thermal protection should be encouraged to shield against accidental spills.,LTI,2025.0
"Orange Stripe#97-FY25-LD 1, Long Product Division-English.pdf",FY-25,Orange Stripe,97/FY-25,02-03-2025 Time: 05:50 AM,05:50 AM,Towards LD-1 road coming from LD-2 signal.,"LD-1, TSJ",Finishing and Shipping,LTI of a company employee,Fracture in left leg,Company,,,"Yellow Risk (C3, L4)",65 days,Yes,,,,LTI,2025.0
"Orange Stripe#97-FY25-LD 1, Long Product Division-English.pdf",FY-25,Orange Stripe,97/FY-25,,,,,,,,,,,,,,,1. Road condition was found good. 2. Illumination of the incident site was also found good. 3. Traffic at the time of incident was found normal.,"1. Training sessions should be conducted that emphasize the dangers of improper overtaking. These sessions should illustrate the risks involved when overtaking other vehicles, especially in environment with mixed vehicle types (e.g., cars and two-wheelers). 2. A defensive driving culture should be p",LTI,2025.0
"Orange Stripe#95-FY25-Central Utility, TSM-English.pdf",FY-25,Orange Stripe,95/FY-25,26.02.2025 Time: 3:25 PM,3:25 PM,Near entrance gate -2 of Centralized Compressor House,"Central Utility, TSM",,LTI of a TSTSL employee,: Fracture in knee and collar bone,,,,"Yellow Risk (C3, L4)",210 days,No,,,,LTI,2025.0
"Orange Stripe#95-FY25-Central Utility, TSM-English.pdf",FY-25,Orange Stripe,95/FY-25,,,,,,,,,,,,,,,1. EOT crane load test found valid. 2. Auxiliary crane rope found broken. 3. The auxiliary hook capacity was 3 ton. Earlier material which was lifted was 100kg.,"1. All crane operators and personnel involved in the operation should receive comprehensive training on crane operations, safety protocols, and emergency response. 2. Rigorous pre-operational checklist should be implemented for the crane and hoisting equipment. Operators must check for unusual sound",LTI,2025.0
